# Costco Wholesale Corporation (COST) daily historical prices from Yahoo Finance
# Generated on: 2026-02-17T15:42:33
# Period: Last 2 years from today
Price	Close	High	Low	Open	Volume
Ticker	COST	COST	COST	COST	COST
Date					
2025-01-14	911.223694	921.684769	903.961564	918.247405	1683800
2025-01-15	917.452698	926.761336	912.286736	921.188086	1839400
2025-01-16	913.727295	921.327225	911.809940	918.674665	1353000
2025-01-17	937.013733	937.619724	918.515667	923.910102	2375000
2025-01-21	941.523987	950.286238	937.321705	939.060246	2042400
2025-01-22	938.513855	945.706436	933.089587	945.001063	2155000
2025-01-23	935.990479	937.212465	930.357624	935.523585	1352400
2025-01-24	933.526733	939.845072	927.446814	935.990474	1562400
2025-01-27	958.929321	960.657918	921.108605	923.910146	3044700
2025-01-28	952.392395	959.386334	947.822541	955.531737	2166400
2025-01-29	957.707336	961.919562	948.746383	951.528035	1713700
2025-01-30	972.599243	980.288550	963.747554	963.946256	1788200
2025-01-31	973.463562	984.510741	969.390434	969.847383	1873800
2025-02-03	999.243530	1002.998746	962.595083	966.022503	2751000
2025-02-04	1015.168640	1017.642325	993.104115	998.816462	2001600
2025-02-05	1036.051025	1036.259611	1013.320843	1013.320843	2047600
2025-02-06	1044.107788	1056.039153	1037.362212	1043.124281	2218000
2025-02-07	1038.120605	1050.950195	1029.865797	1041.293160	1632900
2025-02-10	1056.131958	1057.206028	1040.298688	1046.265984	2036900
2025-02-11	1052.571289	1060.189571	1043.322053	1054.132799	1748500
2025-02-12	1059.314453	1061.184211	1045.271420	1048.404275	1662300
2025-02-13	1070.990356	1072.352884	1058.846948	1061.194070	1623300
2025-02-14	1066.007690	1071.616963	1062.188655	1070.612459	1410700
2025-02-18	1050.274048	1065.162423	1039.542821	1063.382141	2090600
2025-02-19	1056.748657	1057.385183	1047.260616	1050.303996	1349600
2025-02-20	1029.189697	1047.897233	1028.215058	1047.897233	2000500
2025-02-21	1029.388428	1030.561928	1019.094866	1028.970673	1816300
2025-02-24	1029.955444	1032.531294	1019.632016	1022.933988	1759700
2025-02-25	1049.906006	1051.258578	1031.805135	1035.057331	2083800
2025-02-26	1026.345215	1053.118531	1024.565054	1044.416223	1555700
2025-02-27	1016.141113	1036.847640	1013.276806	1028.364104	1629100
2025-02-28	1042.894531	1043.660354	1018.408728	1024.992640	3307100
2025-03-03	1041.144043	1060.189689	1035.465205	1046.007404	2422500
2025-03-04	1031.218384	1042.218158	1023.122737	1040.030076	2536800
2025-03-05	1042.039062	1045.251437	1022.893988	1027.448980	1898600
2025-03-06	1021.024353	1040.189340	1013.495606	1027.319807	2594600
2025-03-07	959.053955	996.956219	937.641337	989.725886	5510700
2025-03-10	929.316895	954.429267	918.993527	950.262103	4459900
2025-03-11	925.418274	932.887350	916.178932	925.925504	3204900
2025-03-12	922.026855	939.232548	918.217714	932.887318	2331600
2025-03-13	885.765625	918.466416	882.632770	916.974592	3447200
2025-03-14	898.993042	902.006556	876.754933	886.949064	3186400
2025-03-17	911.613892	918.356966	893.105342	896.715561	2256100
2025-03-18	893.155090	912.558759	891.951724	908.023616	2182000
2025-03-19	899.122314	905.198996	891.116204	897.938798	1908500
2025-03-20	890.519653	902.533768	889.226690	896.586381	1891800
2025-03-21	904.304016	904.811246	879.141928	883.905798	3447600
2025-03-24	920.992554	923.588374	914.985497	914.985497	2208100
2025-03-25	925.189514	927.208418	917.461846	921.579295	1623000
2025-03-26	924.682312	934.299588	918.416663	929.237365	1644700
2025-03-27	933.633240	937.760644	922.941834	924.493328	1547000
2025-03-28	924.592773	933.633254	920.952749	932.390067	2100500
2025-03-31	940.625000	989.576694	917.014345	917.332608	3102000
2025-04-01	949.197998	952.499849	933.633275	937.283255	2041500
2025-04-02	959.819763	965.598093	944.821941	945.657389	1719900
2025-04-03	961.808777	976.000954	922.941772	926.005001	3096900
2025-04-04	911.484619	959.262811	909.157408	949.794682	5167000
2025-04-07	903.180115	932.708288	866.958644	882.911194	4626600
2025-04-08	903.796814	937.850177	894.666857	926.969804	3545400
2025-04-09	959.929199	962.186846	892.777200	903.050913	5084500
2025-04-10	959.053955	987.995319	937.750723	961.232021	4209100
2025-04-11	958.158813	964.921798	938.019188	958.705864	2721800
2025-04-14	973.982178	981.749607	959.740222	964.712970	2219900
2025-04-15	971.595215	988.582136	968.939785	979.979259	1788200
2025-04-16	962.475159	973.315771	954.011534	966.831290	2531700
2025-04-17	989.079346	994.469786	966.692030	967.975037	2711100
2025-04-21	952.549622	991.555821	937.830242	987.587578	2841300
2025-04-22	973.892578	982.067806	961.510487	964.464269	2230600
2025-04-23	970.521179	990.322632	963.718434	989.099356	2109700
2025-04-24	970.163025	972.669309	955.473572	968.293267	2468500
2025-04-25	971.833862	972.987574	957.631728	968.661247	1780900
2025-04-28	973.206421	979.929585	963.499669	973.166661	1616200
2025-04-29	986.294739	987.796518	965.767223	972.669399	1523100
2025-04-30	989.079346	992.321586	971.227172	984.603874	2212400
2025-05-01	993.594604	1000.894624	979.631153	984.703330	1829900
2025-05-02	1004.110718	1013.770429	1000.436047	1003.642700	1547400
2025-05-05	1010.673401	1013.551408	998.334864	1003.324058	1952600
2025-05-06	1006.301636	1012.007810	999.340687	1004.260165	1381200
2025-05-07	1002.965576	1009.886652	997.309122	1006.978801	1316000
2025-05-08	1003.523254	1012.774635	987.281021	1009.289177	1882600
2025-05-09	1003.901672	1006.510782	993.903347	1000.436090	1176700
2025-05-12	1011.928162	1012.684953	988.117468	1005.594540	2069000
2025-05-13	994.879333	1019.576284	983.496769	1009.508242	2917000
2025-05-14	987.420410	995.705850	986.404689	994.610445	2215000
2025-05-15	1006.271667	1009.787030	978.915829	988.525760	2470700
2025-05-16	1021.567871	1023.987828	1004.807840	1008.283330	2033700
2025-05-19	1030.042603	1030.689926	1008.681769	1014.368007	1879800
2025-05-20	1032.512207	1033.687358	1025.730564	1025.730564	2271200
2025-05-21	1021.040161	1035.151210	1019.546333	1026.656621	1438900
2025-05-22	1013.899902	1024.505678	1009.906553	1023.450024	1660900
2025-05-23	1004.309937	1010.892459	1002.816169	1007.795395	1413900
2025-05-27	1013.561340	1014.716555	1006.729856	1010.782954	1868200
2025-05-28	1008.930664	1020.362948	1008.751419	1012.824392	1674700
2025-05-29	1004.548889	1013.312315	999.430230	1011.788703	2016700
2025-05-30	1035.858398	1048.117191	997.836972	998.135714	5403800
2025-06-02	1052.458984	1056.093844	1029.972843	1029.972843	2148000
2025-06-03	1051.204224	1062.646476	1038.925496	1049.770265	1992900
2025-06-04	1047.320435	1053.434939	1045.010127	1050.616741	1422100
2025-06-05	1006.610352	1046.683216	1001.830306	1045.637530	3289400
2025-06-06	1010.723206	1016.389568	1004.419488	1016.389568	1855400
2025-06-09	1001.999512	1009.139705	992.827756	1008.213576	1696700
2025-06-10	1003.085083	1007.307457	993.574712	1002.746469	2255000
2025-06-11	992.638672	1001.262665	989.252774	998.275129	2459800
2025-06-12	998.544006	999.081741	991.224507	994.849399	1720100
2025-06-13	986.095886	999.420300	984.562246	994.929028	1786000
2025-06-16	980.270203	997.687526	977.362352	988.207121	2109300
2025-06-17	973.657776	982.002964	972.144132	978.915868	1668200
2025-06-18	970.849548	978.567349	970.022980	975.928335	1509600
2025-06-20	976.217102	984.552322	969.853697	979.901742	3255700
2025-06-23	1000.306641	1000.695035	977.183143	979.065305	2082900
2025-06-24	997.757324	1001.661082	987.948272	1001.661082	2385100
